2026-03-31 09:42:48.916 | INFO     | storage.database:_ensure_file_exists:20 - Created new database file: storage/database.json
2026-03-31 09:42:48.917 | INFO     | pdf.processor:_ensure_dir_exists:19 - Created temporary PDF download directory: temp_pdfs
2026-03-31 09:42:48.917 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
2026-03-31 09:42:49.900 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/all
2026-03-31 09:42:49.901 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:45:29.867 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
2026-03-31 09:45:30.824 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/all
2026-03-31 09:45:30.825 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:48:18.488 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
2026-03-31 09:48:19.514 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/all
2026-03-31 09:48:19.515 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:00.841 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
2026-03-31 09:49:01.851 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/companies
2026-03-31 09:49:01.852 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:12.798 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/companies
2026-03-31 09:49:12.799 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:23.745 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/companies
2026-03-31 09:49:23.747 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:34.693 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/companies
2026-03-31 09:49:34.695 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:45.639 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/companies
2026-03-31 09:49:45.640 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 09:49:59.812 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
2026-03-31 09:50:00.768 | ERROR    | scraper.psx_scraper:fetch_announcements:72 - Failed to fetch PSX announcements: 462 Client Error:  for url: https://dps.psx.com.pk/announcements/
2026-03-31 09:50:00.769 | WARNING  | __main__:run_agent:47 - No announcements found or failed to fetch. Retrying next cycle.
2026-03-31 10:00:05.389 | INFO     | __main__:run_agent:39 - PSX AI Agent started. Monitoring PSX announcements...
